trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.7, 'e': 0.22368867397864742}",25,16,-1.160222990237398,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.22145178723886094}",30,4,-12.27878011524578,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.21923726936647234}",20,9,11.389437054257638,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.2170448966728076}",20,11,-26.096133934385477,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.7, 'e': 0.21487444770607952}",20,9,16.92147860750698,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.21272570322901874}",20,16,7.300560478089731,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.21059844619672854}",25,18,11.558209906328615,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.20849246173476127}",20,14,10.646721382007833,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.20640753711741366}",30,4,-76.66133205883574,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 2}",1
158,False,"{'a': 0.7, 'e': 0.20434346174623952}",20,11,16.906147809567564,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.20230002712877712}",20,11,3.7592821873659736,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.20027702685748935}",25,11,1.3240430790868567,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.19827425658891445}",25,4,12.162790404483747,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.1962915140230253}",20,12,12.620650160642718,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.19432859888279505}",30,16,3.7445294289689195,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.1923853128939671}",20,10,-12.64209974621709,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.19046145976502743}",20,0,-58.669488657812025,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
166,False,"{'a': 0.7, 'e': 0.18855684516737714}",20,12,15.78147914717217,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.18667127671570335}",20,0,20.529331914301064,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.7, 'e': 0.18480456394854633}",35,14,37.86900442180816,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.18295651830906087}",25,11,0.9069483923155324,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.18112695312597027}",20,2,24.916138136453316,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.17931568359471056}",25,12,0.04777725671083077,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.17752252675876345}",30,0,7.580412298236323,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
173,False,"{'a': 0.7, 'e': 0.17574730149117582}",25,2,32.73714689192878,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.17398982847626407}",25,4,-53.457152677440426,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
175,False,"{'a': 0.7, 'e': 0.17224993019150142}",20,1,-32.078123486342136,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
176,False,"{'a': 0.7, 'e': 0.1705274308895864}",20,6,-15.184380960621306,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.7, 'e': 0.16882215658069055}",25,0,-66.32248480220161,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0
178,False,"{'a': 0.7, 'e': 0.16713393501488363}",30,16,-10.722641232851533,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.16546259566473479}",25,3,9.412715164058662,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 0.16380796970808745}",20,11,18.455884236458292,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.16216989001100657}",30,16,-51.34511933433061,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
182,False,"{'a': 0.7, 'e': 0.1605481911108965}",20,6,-16.33351753923571,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
183,False,"{'a': 0.7, 'e': 0.15894270919978754}",20,5,22.475659020649708,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.7, 'e': 0.15735328210778965}",25,0,35.41091018513265,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
185,False,"{'a': 0.7, 'e': 0.15577974928671176}",25,0,-19.95254539417635,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
186,False,"{'a': 0.7, 'e': 0.15422195179384465}",20,0,21.86656721310829,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
187,False,"{'a': 0.7, 'e': 0.1526797322759062}",25,15,18.582407506713135,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.7, 'e': 0.15115293495314713}",20,0,-10.388950116575375,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
189,False,"{'a': 0.7, 'e': 0.14964140560361566}",20,11,16.16553015631638,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
